archetype_id,season,finish_rank,rank_basis,team_name,owner,roster_id,wins,losses,fpts,sleeper_id,player_name,sleeper_position,nfl_team,ktc_name,position,ktc_value,ktc_overall_rank,ktc_pos_rank,comp_adj_value,comp_adj_overall_rank,comp_adj_pos_rank
bb_hero_3qb,2026,1,bbm_synthetic,Hero RB + late 3QB,bb_hero_3qb,1,0,0,0,,R1 WR5,WR,,R1 WR5,WR,18000,6,5,18000,6,5
bb_hero_3qb,2026,1,bbm_synthetic,Hero RB + late 3QB,bb_hero_3qb,1,0,0,0,,R2 RB8,RB,,R2 RB8,RB,17000,19,8,17000,19,8
bb_hero_3qb,2026,1,bbm_synthetic,Hero RB + late 3QB,bb_hero_3qb,1,0,0,0,,R3 WR20,WR,,R3 WR20,WR,16000,30,20,16000,30,20
bb_hero_3qb,2026,1,bbm_synthetic,Hero RB + late 3QB,bb_hero_3qb,1,0,0,0,,R4 WR28,WR,,R4 WR28,WR,15000,43,28,15000,43,28
bb_hero_3qb,2026,1,bbm_synthetic,Hero RB + late 3QB,bb_hero_3qb,1,0,0,0,,R5 TE7,TE,,R5 TE7,TE,14000,54,7,14000,54,7
bb_hero_3qb,2026,1,bbm_synthetic,Hero RB + late 3QB,bb_hero_3qb,1,0,0,0,,R6 WR44,WR,,R6 WR44,WR,13000,67,44,13000,67,44
bb_hero_3qb,2026,1,bbm_synthetic,Hero RB + late 3QB,bb_hero_3qb,1,0,0,0,,R7 RB38,RB,,R7 RB38,RB,12000,78,38,12000,78,38
bb_hero_3qb,2026,1,bbm_synthetic,Hero RB + late 3QB,bb_hero_3qb,1,0,0,0,,R8 WR60,WR,,R8 WR60,WR,11000,91,60,11000,91,60
bb_hero_3qb,2026,1,bbm_synthetic,Hero RB + late 3QB,bb_hero_3qb,1,0,0,0,,R9 QB13,QB,,R9 QB13,QB,10000,102,13,10000,102,13
bb_hero_3qb,2026,1,bbm_synthetic,Hero RB + late 3QB,bb_hero_3qb,1,0,0,0,,R10 RB54,RB,,R10 RB54,RB,9000,115,54,9000,115,54
