rank,name,fp_id,player_slug,team,bye_week,position,pos_rank,bb10,rtsports,underdog,drafters,draftkings,real_time,avg,sleeper_id
271,Kendre Miller,24360,kendre-miller,NO,8,RB,85,439,,271,268,290,272,317,9757
272,Tory Horton,26022,tory-horton,SEA,11,WR,108,481,,253,275,296,,326.3,12497
273,Kalif Raymond,16081,kalif-raymond,CHI,10,WR,109,420,,272,287,295,,318.5,3634
274,Dawson Knox,18631,dawson-knox,BUF,7,TE,44,497,,261,280,292,,332.5,5906
275,Darius Slayton,18706,darius-slayton,,,WR,110,482,,288,277,274,,330.3,6149
276,Christian Kirk,17268,christian-kirk,SF,8,WR,111,442,,307,255,283,,321.8,4950
277,Isaiah Davis,25977,isaiah-davis,NYJ,13,RB,86,480,,301,286,281,,337,11571
278,KaVontae Turpin,18520,kavontae-turpin,DAL,14,WR,112,385,,268,276,,,309.7,8917
279,Devontez Walker,26011,devontez-walker,BAL,13,WR,113,388,,299,253,,,313.3,11629
280,Demarcus Robinson,15665,demarcus-robinson,SF,8,WR,114,396,,270,274,,,313.3,3286
281,Barion Brown,25416,barion-brown,NO,8,WR,115,390,,284,,278,,317.3,13533
282,Brenen Thompson,28133,brenen-thompson,LAC,7,WR,116,387,,286,281,,,318,13380
283,Eli Stowers,23144,eli-stowers,PHI,10,TE,45,474,,265,,250,,329.7,13349
284,Malik Benson,26012,malik-benson,LV,13,WR,117,424,,280,260,,,321.3,13329
285,Hollywood Brown,18226,marquise-brown,PHI,10,WR,118,487,,279,,238,,334.7,5848
286,Tutu Atwell,20126,tutu-atwell,LAR,11,WR,119,436,,273,,257,,322,7562
287,Jonnu Smith,16460,jonnu-smith,GB,11,TE,46,427,,275,279,,,327,4144
288,Kendrick Bourne,17066,kendrick-bourne,ARI,14,WR,120,463,,274,266,,,334.3,4454
289,Roman Wilson,28896,roman-wilson-wr,PIT,9,WR,121,428,,298,264,,,330,11630
290,Joshua Palmer,22845,josh-palmer,BUF,7,WR,122,430,,277,283,,,330,7670
291,Elic Ayomanor,27059,elic-ayomanor,TEN,9,WR,123,495,,281,270,,,348.7,12499
292,Chimere Dike,27315,chimere-dike,TEN,9,WR,124,479,,290,,266,277,345,12540
293,Marvin Mims Jr.,23080,marvin-mims,DEN,10,WR,125,445,,295,272,,,337.3,9494
294,Brandon Aiyuk,19252,brandon-aiyuk,SF,8,WR,126,450,,302,,263,,338.3,6803
295,Eli Heidenreich,28297,eli-heidenreich,PIT,9,RB,87,410,,342,265,,,339,13423
296,Theo Johnson,23104,theo-johnson,NYG,8,TE,47,492,,278,,294,,354.7,11597
297,Raheim Sanders,24351,raheim-sanders,CLE,11,RB,88,256,,319,,,,287.5,12472
298,Jameis Winston,13891,jameis-winston,NYG,8,QB,37,496,,300,,286,,360.7,2306
299,Kyle McCord,23066,kyle-mccord,MIA,6,QB,38,264,,324,,,,294,12494
300,Houston Texans DST,8120,,,8,DST,1,142,,,,,118,142,
301,Justin Fields,19781,justin-fields,KC,5,QB,39,476,,310,,279,,355,7591
302,Adam Randall,24367,adam-randall,BAL,13,RB,89,453,,297,,293,,347.7,13302
303,Los Angeles Rams DST,8280,,,11,DST,2,144,,,,,103,144,
304,Mack Hollins,16489,mack-hollins,NE,11,WR,127,460,,311,,280,,350.3,4177
305,Sam Roush,28161,sam-roush,CHI,10,TE,48,260,,332,,,,296,13322
306,Joe Flacco,9300,joe-flacco,CIN,6,QB,40,483,,337,,264,,361.3,19
307,Mac Jones,20156,mac-jones,SF,8,QB,41,490,,316,,287,,364.3,7527
308,Audric Estime,23054,audric-estime,NO,8,RB,90,411,,369,,272,,350.7,11579
309,Brashard Smith,27259,brashard-smith,KC,5,RB,91,478,,309,,297,,361.3,12455
310,Seattle Seahawks DST,8260,,,11,DST,3,160,,,,,123,160,
311,Denver Broncos DST,8090,,,10,DST,4,161,,,,,126,161,
312,Ollie Gordon II,25984,ollie-gordon,MIA,6,RB,92,446,,326,,285,,352.3,12495
313,Philadelphia Eagles DST,8230,,,10,DST,5,178,,,,,141,178,
314,Jimmy Horn Jr.,27294,jimmy-horn-jr,CAR,5,WR,128,321,,304,,,,312.5,12523
315,New England Patriots DST,8180,,,11,DST,6,181,,,,,161,181,
316,Efton Chism III,27445,efton-chismi,NE,11,WR,129,300,,329,,,,314.5,12542
317,Josh Oliver,18487,josh-oliver,MIN,6,TE,49,267,,363,,,,315,5973
318,Jacksonville Jaguars DST,8140,,,7,DST,7,185,,,,,178,185,
319,Noah Fant,17527,noah-fant,NO,8,TE,50,327,,306,,,,316.5,5857
320,Simi Fehoko,23196,simi-fehoko,ARI,14,WR,130,289,,345,,,,317,7812
321,Jahdae Walker,27810,jahdae-walker,CHI,10,WR,131,352,,283,,,,317.5,13079
322,Darius Cooper,27866,darius-cooper,PHI,10,WR,132,316,,320,,,,318,13150
323,Pittsburgh Steelers DST,8240,,,9,DST,8,190,,,,,166,190,
324,Los Angeles Chargers DST,8250,,,7,DST,9,191,,,,,181,191,
325,Minnesota Vikings DST,8170,,,6,DST,10,198,,,,,163,198,
326,Skyy Moore,23905,skyy-moore,GB,11,WR,133,304,,341,,,,322.5,8168
327,Jordan Watkins,27486,jordan-watkins,SF,8,WR,134,299,,349,,,,324,12634
328,Baltimore Ravens DST,8020,,,13,DST,11,202,,,,,159,202,
329,Ty Simpson,25368,ty-simpson,LAR,11,QB,42,459,,373,,276,,369.3,13275
330,DJ Giddens,27097,dj-giddens,IND,13,RB,93,486,,364,,288,,379.3,12471
331,Michael Carter,22728,michael-carter-rb,TEN,9,RB,94,309,,348,,,,328.5,7607
332,Austin Hooper,15581,austin-hooper,ATL,11,TE,51,268,,394,,,,331,3202
333,Cedric Tillman,25287,cedric-tillman,NO,8,WR,135,270,,392,,,,331,10444
334,Matt Hibner,28168,matthew-hibner,BAL,13,TE,52,362,,305,,,,333.5,13324
335,Kevin Coleman Jr.,28067,kevin-coleman-jr,MIA,6,WR,136,306,,361,,,,333.5,13338
336,Chicago Bears DST,8050,,,10,DST,12,225,,,,,266,225,
337,Kyle Juszczyk,11798,kyle-juszczyk,SF,8,RB,95,342,,333,,,,337.5,
338,KeAndre Lambert-Smith,24372,keandre-lambert-smith,LAC,7,WR,137,308,,368,,,,338,12670
339,Detroit Lions DST,8100,,,6,DST,13,231,,,,,217,231,
340,Cleveland Browns DST,8070,,,11,DST,14,232,,,,,258,232,
341,Green Bay Packers DST,8110,,,11,DST,15,233,,,,,263,233,
342,Buffalo Bills DST,8030,,,7,DST,16,234,,,,,261,234,
343,J'Mari Taylor,28109,jmari-taylor,JAC,7,RB,96,301,,381,,,,341,13348
344,Brock Wright,23341,brock-wright,DET,6,TE,53,320,,362,,,,341,7891
345,Kansas City Chiefs DST,8150,,,5,DST,17,236,,,,,274,236,
346,Drew Sample,18561,drew-sample,CIN,6,TE,54,283,,402,,,,342.5,6001
347,Jackson Hawes,27469,jackson-hawes,BUF,7,TE,55,286,,399,,,,342.5,12658
348,CJ Daniels,28125,cj-daniels,LAR,11,WR,138,386,,303,,,,344.5,13270
349,New Orleans Saints DST,8190,,,8,DST,18,243,,,,,,243,
350,Savion Williams,27144,savion-williams,GB,11,WR,139,363,,327,,,,345,12482
351,Dallas Cowboys DST,8080,,,14,DST,19,246,,,,,224,246,
352,Ashton Dulin,18656,ashton-dulin,IND,13,WR,140,295,,398,,,,346.5,6427
353,Elijah Higgins,23119,elijah-higgins,ARI,14,TE,56,298,,395,,,,346.5,10231
354,New York Giants DST,8200,,,8,DST,20,248,,,,,264,248,
355,Colbie Young,26037,colbie-young,CIN,6,WR,141,414,,282,,,,348,13477
356,Atlanta Falcons DST,8010,,,11,DST,21,250,,,,,,250,
357,San Francisco 49ers DST,8270,,,8,DST,22,252,,,,,232,252,
358,Mitchell Evans,27138,mitchell-evans,CAR,5,TE,57,282,,417,,,,349.5,12473
359,Zay Jones,16431,zay-jones,,,WR,142,254,,,,,,254,4080
360,Greg Dortch,18585,greg-dortch,BUF,7,WR,143,350,,351,,,,350.5,5970
361,Jaleel McLaughlin,25876,jaleel-mclaughlin,CLE,11,RB,97,257,,,,,,257,11439
362,Isaiah Williams,26379,isaiah-williams-wr,NYJ,13,WR,144,344,,360,,,,352,11608
363,Corey Kiner,22997,corey-kiner,NE,11,RB,98,382,,323,,,,352.5,12491
364,Dylan Laube,26194,dylan-laube,LV,13,RB,99,259,,,,,,259,11574
365,Treylon Burks,22905,treylon-burks,WAS,7,WR,145,392,,314,,,,353,8135
366,Tai Felton,27182,tai-felton,MIN,6,WR,146,372,,334,,,,353,12496
367,Tommy Tremble,22795,tommy-tremble,CAR,5,TE,58,377,,330,,,,353.5,7694
368,Boston Scott,17612,boston-scott,,,RB,100,261,,,,,,261,5122
369,Cade Klubnik,24361,cade-klubnik,NYJ,13,QB,43,393,,315,,,,354,13303
370,Bo Melton,24049,bo-melton,GB,11,WR,147,262,,,,,,262,8204
371,Dyami Brown,20113,dyami-brown,WAS,7,WR,148,332,,377,,,,354.5,7587
372,Max Klare,27993,max-klare,LAR,11,TE,59,343,,366,,,,354.5,13278
373,Gregory Desrosiers,28510,greg-desrosiers-jr,LAC,7,RB,101,263,,,,,,263,13603
374,Sione Vaki,26309,sione-vaki,DET,6,RB,102,417,,293,,,,355,11729
375,Jared Wiley,26343,jared-wiley,KC,5,TE,60,265,,,,,,265,11595
376,DeAndre Hopkins,11606,deandre-hopkins,BAL,13,WR,149,266,,,,,,266,1426
377,Jaylin Lane,27454,jaylin-lane,WAS,7,WR,150,317,,397,,,,357,12641
378,Luke Farrell,19501,luke-farrell,SF,8,TE,61,269,,,,,,269,7842
379,Tanner Hudson,17826,tanner-hudson,CIN,6,TE,62,271,,,,,,271,5409
380,Jalen Royals,27076,jalen-royals,KC,5,WR,151,383,,335,,,,359,12505
381,JuJu Smith-Schuster,16427,juju-smith-schuster,,,WR,152,272,,,,,,272,4040
382,Tez Johnson,27147,tez-johnson,TB,10,WR,153,434,,285,,,,359.5,12485
383,Daniel Bellinger,24238,daniel-bellinger,TEN,9,TE,63,360,,359,,,,359.5,8225
384,Durham Smythe,17508,durham-smythe,BAL,13,TE,64,273,,,,,,273,5008
385,Dean Connors,28113,dean-connors,LAR,11,RB,103,280,,440,,,,360,13315
386,Anthony Richardson Sr.,24347,anthony-richardson,IND,13,QB,44,433,,287,,,,360,9229
387,Davis Allen,23761,davis-allen,LAR,11,TE,65,274,,,,,,274,10214
388,Cooper Rush,16477,cooper-rush,ATL,11,QB,45,275,,,,,,275,4574
389,Josh Williams,27444,josh-williams-rb,TB,10,RB,104,276,,,,,,276,12787
390,Israel Abanikanda,24352,israel-abanikanda,DAL,14,RB,105,277,,,,,,277,9227
391,Oscar Delp,25430,oscar-delp,NO,8,TE,66,412,,312,,,,362,13319
392,J. Michael Sturdivant,26139,jmichael-sturdivant,GB,11,WR,154,345,,379,,,,362,13770
393,Rasheen Ali,25983,rasheen-ali,BAL,13,RB,106,353,,371,,,,362,11570
394,John Metchie III,22895,john-metchie,CAR,5,WR,155,367,,357,,,,362,8147
395,Jeremy McNichols,16445,jeremy-mcnichols,WAS,7,RB,107,278,,,,,,278,4219
396,Phil Mafah,22928,phil-mafah,,,RB,108,375,,350,,,,362.5,12738
397,Hassan Haskins,23798,hassan-haskins,NE,11,RB,109,279,,,,,,279,8123
398,Jalen Milroe,22884,jalen-milroe,SEA,11,QB,46,303,,423,,,,363,12510
399,Justin Joly,28079,justin-joly,MIA,6,TE,67,368,,358,,,,363,13400
400,Josh Cameron,28137,josh-cameron,JAC,7,WR,156,305,,422,,,,363.5,13394
401,Luke McCaffrey,26328,luke-mccaffrey,WAS,7,WR,157,389,,338,,,,363.5,11650
402,Josh Whyle,22923,josh-whyle,GB,11,TE,68,281,,,,,,281,10212
403,Zach Ertz,11689,zach-ertz,,,TE,69,408,,322,,,,365,1339
404,Elijah Moore,20114,elijah-moore,PHI,10,WR,158,284,,,,,,284,7596
405,Kene Nwangwu,23249,kene-nwangwu,NYJ,13,RB,110,285,,,,,,285,7720
406,Will Howard,25972,will-howard,PIT,9,QB,47,319,,414,,,,366.5,12511
407,Luke Floriea,27904,luke-floriea,,,WR,159,287,,,,,,287,13189
408,Damien Martinez,25976,damien-martinez,,,RB,111,288,,,,,,288,12462
409,John Bates,22833,john-bates,WAS,7,TE,70,290,,,,,,290,7716
410,Isaiah Bond,24371,isaiah-bond,CLE,11,WR,160,409,,328,,,,368.5,12503
411,Dare Ogunbowale,16879,dare-ogunbowale,LV,13,RB,112,291,,,,,,291,4718
412,Joe Mixon,16420,joe-mixon,,,RB,113,292,,,,,,292,4018
413,Marlin Klein,28157,marlin-klein,HOU,8,TE,71,,,292,,,,292,13307
414,Theo Wease Jr.,27222,theo-wease-jr,LAC,7,WR,161,293,,,,,,293,12860
415,Khalil Herbert,22763,khalil-herbert,,,RB,114,302,,438,,,,370,7608
416,Lil'Jordan Humphrey,18590,liljordan-humphrey,DEN,10,WR,162,294,,,,,,294,5938
417,Noah Gray,19539,noah-gray,KC,5,TE,72,473,,294,,,,383.5,7828
418,Ben Sinnott,26310,ben-sinnott,WAS,7,TE,73,338,,404,,,,371,11596
419,Tyler Goodson,22976,tyler-goodson,ATL,11,RB,115,296,,,,,,296,8207
420,Tyson Bagent,25321,tyson-bagent,CHI,10,QB,48,425,,318,,,,371.5,11256
421,Konata Mumpfield,27449,konata-mumpfield,LAR,11,WR,163,348,,396,,,,372,12718
422,Nick Westbrook-Ikhine,19747,nick-westbrook,IND,13,WR,164,366,,380,,,,373,7496
423,AJ Dillon,19358,aj-dillon,CAR,5,RB,116,365,,383,,,,374,6828
424,Salvon Ahmed,19449,salvon-ahmed,CHI,10,RB,117,322,,431,,,,376.5,6918
425,Ameer Abdullah,13924,ameer-abdullah,JAC,7,RB,118,307,,,,,,307,2359
426,Austin Ekeler,16483,austin-ekeler,,,RB,119,370,,384,,,,377,4663
427,Tahj Brooks,26212,tahj-brooks,CIN,6,RB,120,470,,308,,,,389,12543
428,Riley Leonard,25373,riley-leonard,IND,13,QB,49,310,,,,,,310,12470
429,Tyler Huntley,19297,tyler-huntley,BAL,13,QB,50,421,,336,,,,378.5,7083
430,Frank Gore Jr.,25980,frank-gore-jr,BUF,7,RB,121,311,,,,,,311,11573
431,Dont'e Thornton Jr.,27288,donte-thornton-jr,LV,13,WR,165,312,,,,,,312,12541
432,Myles Price,27805,myles-price,MIN,6,WR,166,313,,,,,,313,13075
433,Andy Dalton,9907,andy-dalton,PHI,10,QB,51,351,,409,,,,380,829
434,Trevor Etienne,25393,trevor-etienne,CAR,5,RB,122,395,,365,,,,380,12531
435,Sterling Shepard,15569,sterling-shepard,,,WR,167,315,,,,,,315,3200
436,Tyrod Taylor,10007,tyrod-taylor,GB,11,QB,52,391,,372,,,,381.5,827
437,Devin Singletary,18280,devin-singletary,NYG,8,RB,123,488,,317,,,,402.5,6130
438,Jawhar Jordan,26329,jawhar-jordan,HOU,8,RB,124,318,,,,,,318,11588
439,Tyler Higbee,15623,tyler-higbee,LAR,11,TE,74,435,,331,,,,383,3271
440,Erik Ezukanma,23755,erik-ezukanma,,,WR,168,,,321,,,,321,8114
441,Carson Wentz,15520,carson-wentz,MIN,6,QB,53,341,,427,,,,384,3161
442,Zavier Scott,25748,zavier-scott,CHI,10,RB,125,323,,,,,,323,11299
443,Jerome Ford,22921,jerome-ford,WAS,7,RB,126,324,,,,,,324,8143
444,Lan Larison,27498,lan-larison,NE,11,RB,127,325,,,,,,325,12969
445,Olamide Zaccheaus,18864,olamide-zaccheaus,ATL,11,WR,169,447,,325,,,,386,6271
446,Chris Brazzell II,28047,chris-brazzell-ii,CAR,5,WR,170,416,,356,,,,386,13353
447,Pierre Strong Jr.,24173,pierre-strong-jr,GB,11,RB,128,326,,,,,,326,8116
448,Zamir White,20095,zamir-white,NO,8,RB,129,328,,,,,,328,8139
449,Jordan Whittington,23135,jordan-whittington,LAR,11,WR,171,399,,376,,,,387.5,11623
450,Luke Musgrave,25282,luke-musgrave,GB,11,TE,75,329,,,,,,329,9481
451,Kaden Wetjen,28435,kaden-wetjen,PIT,9,WR,172,334,,442,,,,388,13491
452,Joshua Dobbs,16417,joshua-dobbs,DET,6,QB,54,364,,412,,,,388,4179
453,Haynes King,23141,haynes-king,CAR,5,QB,55,330,,,,,,330,13415
454,Philip Rivers,9509,philip-rivers,,,QB,56,333,,,,,,333,331
455,Jack Strand,28428,jack-strand,ATL,11,QB,57,336,,445,,,,390.5,13602
456,Gardner Minshew II,18562,gardner-minshew,ARI,14,QB,58,378,,403,,,,390.5,6011
457,Camden Brown,26025,camden-brown,DAL,14,WR,173,335,,,,,,335,13726
458,Jam Miller,27326,jam-miller,,,RB,130,337,,,,,,337,13403
459,Taylen Green,28094,taylen-green,CLE,11,QB,59,,,339,,,,339,13306
460,Jake Browning,18557,jake-browning,,,QB,60,340,,,,,,340,6111
461,Julius Chestnut,24689,julius-chestnut,TEN,9,RB,131,,,340,,,,340,8254
462,Jacob Cowing,25289,jacob-cowing,SF,8,WR,174,,,343,,,,343,11616
463,Jarrett Stidham,18604,jarrett-stidham,DEN,10,QB,61,380,,410,,,,395,6136
464,Tre'Shaun Harrison,25889,treshaun-harrison,,,WR,175,,,344,,,,344,11456
465,Spencer Rattler,23081,spencer-rattler,NO,8,QB,62,384,,407,,,,395.5,11562
466,Robert Henry Jr.,28404,robert-henry-jr,WAS,7,RB,132,346,,,,,,346,13418
467,Ezekiel Elliott,15498,ezekiel-elliott,,,RB,133,,,347,,,,347,3164
468,Quinn Ewers,23680,quinn-ewers,JAC,7,QB,63,347,,,,,,347,12500
469,Mason Rudolph,17234,mason-rudolph,PIT,9,QB,64,349,,,,,,349,4972
470,Isaac Guerendo,26392,isaac-guerendo,SF,8,RB,134,371,,425,,,,398,11651
471,Carsen Ryan,28399,carsen-ryan,CLE,11,TE,76,,,352,,,,352,13580
472,Will Shipley,22930,will-shipley,PHI,10,RB,135,394,,405,,,,399.5,11577
473,Damien Harris,18230,damien-harris-rb,,,RB,136,,,353,,,,353,5890
474,Mitchell Trubisky,16381,mitch-trubisky,TEN,9,QB,65,354,,,,,,354,3976
475,Malik Taylor,18856,malik-taylor,,,WR,176,,,354,,,,354,6239
476,Drew Lock,18225,drew-lock,SEA,11,QB,66,355,,,,,,355,5854
477,Thomas Yassmin,26708,thomas-yassmin,GB,11,TE,77,,,355,,,,355,12113
478,Taysom Hill,17115,taysom-hill,,,TE,78,356,,,,,,356,4381
479,Kenny Pickett,22722,kenny-pickett,CAR,5,QB,67,358,,,,,,358,8160
480,Kyle Allen,17869,kyle-allen,BUF,7,QB,68,398,,413,,,,405.5,5127
481,Deion Burks,27093,deion-burks,IND,13,WR,177,,,367,,,,367,13333
482,Sam Howell,23045,sam-howell,DAL,14,QB,69,376,,439,,,,407.5,8162
483,Davis Mills,22799,davis-mills,HOU,8,QB,70,407,,408,,,,407.5,7585
484,Nate Boerkircher,28427,nate-boerkircher,JAC,7,TE,79,,,370,,,,370,13299
485,Trey Lance,20082,trey-lance,LAC,7,QB,71,403,,416,,,,409.5,7610
486,Bam Knight,24901,zonovan-bam-knight,ARI,14,RB,137,373,,,,,,373,8122
487,Tampa Bay Buccaneers DST,8290,,,10,DST,23,374,,,,,,374,
488,Brevyn Spann-Ford,26003,brevyn-spann-ford,DAL,14,TE,80,,,374,,,,374,11593
489,Drew Allar,24345,drew-allar,PIT,9,QB,72,,,375,,,,375,13289
490,Stetson Bennett IV,23927,stetson-bennett,LAR,11,QB,73,381,,443,,,,412,10857
491,Cameron Latu,24331,cameron-latu,NE,11,TE,81,,,378,,,,378,10210
492,Nick Mullens,16726,nick-mullens,JAC,7,QB,74,379,,,,,,379,4464
493,Montorie Foster Jr.,27910,montorie-foster-jr,SEA,11,WR,178,,,382,,,,382,13199
494,Joe Milton III,25967,joe-milton,DAL,14,QB,75,402,,428,,,,415,11557
495,Trey Benson,25388,trey-benson,ARI,14,RB,138,440,,391,,,,415.5,11589
496,Dontay Demus Jr.,25821,dontay-demus-jr,,,WR,179,,,385,,,,385,11382
497,Emory Jones,22946,emory-jones,,,QB,76,,,386,,,,386,11961
498,Ahmani Marshall,27596,ahmani-marshall,CAR,5,RB,139,,,387,,,,387,12797
499,Brycen Hopkins,19234,brycen-hopkins,,,TE,82,,,388,,,,388,6926
500,Hal Presley III,27564,hal-presley,,,WR,180,,,389,,,,389,12757
501,Jalen White,27712,jalen-white,,,RB,140,,,390,,,,390,12953
502,Diontae Johnson,18615,diontae-johnson,,,WR,181,,,393,,,,393,5937
503,Indianapolis Colts DST,8130,,,13,DST,24,397,,,,,,397,
504,Luke Schoonmaker,25267,luke-schoonmaker,DAL,14,TE,83,,,400,,,,400,10871
505,Tommy DeVito,25746,tommy-devito,NE,11,QB,77,400,,,,,,400,11292
506,Adam Trautman,19423,adam-trautman,DEN,10,TE,84,,,401,,,,401,6869
507,Jarquez Hunter,24335,jarquez-hunter,,,RB,141,404,,446,,,,425,11569
508,Devin Neal,23682,devin-neal,,,RB,142,415,,436,,,,425.5,12476
509,Ja'Tavion Sanders,24334,jatavion-sanders,CAR,5,TE,85,405,,,,,,405,11600
510,Tanner Koziol,27499,tanner-koziol,JAC,7,TE,86,,,406,,,,406,13408
511,J.J. McCarthy,23018,jj-mccarthy,MIN,6,QB,78,443,,411,,,,427,11565
512,Mo Alie-Cox,16579,mo-alie-cox,IND,13,TE,87,,,415,,,,415,4054
513,Jack Endries,27501,jack-endries,CIN,6,TE,88,,,418,,,,418,13282
514,Carolina Panthers DST,8040,,,5,DST,25,419,,,,,,419,
515,Tim Patrick,16556,tim-patrick,NYJ,13,WR,182,,,419,,,,419,4351
516,Seydou Traore,28163,seydou-traore,MIA,6,TE,89,,,420,,,,420,13429
517,Jalon Daniels,26060,jalon-daniels,TB,10,QB,79,,,421,,,,421,13425
518,Marcus Mariota,13890,marcus-mariota,WAS,7,QB,80,423,,,,,,423,2307
519,Jalen Brooks,25468,jalen-brooks,ARI,14,WR,183,,,424,,,,424,11034
520,Garrett Nussmeier,22998,garrett-nussmeier,KC,5,QB,81,,,426,,,,426,13404
521,Jelani Woods,23829,jelani-woods,NYJ,13,TE,90,,,429,,,,429,8219
522,Brycen Tremayne,25631,brycen-tremayne,CAR,5,WR,184,,,430,,,,430,11157
523,Tennessee Titans DST,8300,,,9,DST,26,431,,,,,269,431,
524,Bauer Sharp,28165,bauer-sharp,TB,10,TE,91,,,432,,,,432,13308
525,Sage Surratt,20120,sage-surratt,,,WR,185,,,433,,,,433,7576
526,Dee Eskridge,22785,dwayne-eskridge,,,WR,186,,,434,,,,434,7612
527,Cincinnati Bengals DST,8060,,,6,DST,27,437,,,,,,437,
528,Tay Martin,24029,tay-martin,DET,6,WR,187,,,437,,,,437,8250
529,Jake Briningstool,22924,jake-briningstool,KC,5,TE,92,,,441,,,,441,12817
530,Hunter Renfrow,18345,hunter-renfrow,,,WR,188,,,444,,,,444,5955
531,Dallen Bentley,28352,dallen-bentley,DEN,10,TE,93,,,447,,,,447,13577
532,Las Vegas Raiders DST,8220,,,13,DST,28,449,,,,,,449,
533,New York Jets DST,8210,,,13,DST,29,466,,,,,,466,
534,Washington Commanders DST,8310,,,7,DST,30,468,,,,,,468,
535,Miami Dolphins DST,8160,,,6,DST,31,477,,,,,,477,
536,Arizona Cardinals DST,8000,,,14,DST,32,484,,,,,,484,
